unidade;mes;ano;porte;quantidade
HRAD;Junho;2016;PORTE III (4 A 5 HORAS);3
HRAD;Junho;2016;PORTE IV (ACIMA 6 HORAS);0
HRAD;Julho;2016;PORTE I (0 A 2 HORAS);236
HRAD;Julho;2016;PORTE II ( 2 A 4 HORAS);30
HRAD;Julho;2016;PORTE III (4 A 5 HORAS);4
HRAD;Julho;2016;PORTE IV (ACIMA 6 HORAS);0
HRAD;Agosto;2016;PORTE I (0 A 2 HORAS);316
HRAD;Agosto;2016;PORTE II ( 2 A 4 HORAS);35
HRAD;Agosto;2016;PORTE III (4 A 5 HORAS);4
HRAD;Agosto;2016;PORTE IV (ACIMA 6 HORAS);0
HRAD;Setembro;2016;PORTE I (0 A 2 HORAS);284
HRAD;Setembro;2016;PORTE II ( 2 A 4 HORAS);30
HRAD;Setembro;2016;PORTE III (4 A 5 HORAS);4
HRAD;Setembro;2016;PORTE IV (ACIMA 6 HORAS);0
HRAD;Outubro;2016;PORTE I (0 A 2 HORAS);248
HRAD;Outubro;2016;PORTE II ( 2 A 4 HORAS);29
HRAD;Outubro;2016;PORTE III (4 A 5 HORAS);4
HRAD;Outubro;2016;PORTE IV (ACIMA 6 HORAS);0
HRAD;Novembro;2016;PORTE I (0 A 2 HORAS);224
HRAD;Novembro;2016;PORTE II ( 2 A 4 HORAS);38
HRAD;Novembro;2016;PORTE III (4 A 5 HORAS);3
HRAD;Novembro;2016;PORTE IV (ACIMA 6 HORAS);0
HRAD;Dezembro;2016;PORTE I (0 A 2 HORAS);258
HRAD;Dezembro;2016;PORTE II ( 2 A 4 HORAS);22
HRAD;Dezembro;2016;PORTE III (4 A 5 HORAS);5
HRAD;Dezembro;2016;PORTE IV (ACIMA 6 HORAS);0
